id,title,year,artistName,image
5772712dedc2cb3880c0c684,Dog,1862,Vincent van Gogh,https://uploads2.wikiart.org/images/vincent-van-gogh/dog(1).jpg
57727167edc2cb3880c18799,The Bridge,1862,Vincent van Gogh,https://uploads6.wikiart.org/images/vincent-van-gogh/the-bridge.jpg
57727120edc2cb3880c05642,Barn and Farmhouse,1864,Vincent van Gogh,https://uploads8.wikiart.org/images/vincent-van-gogh/barn-and-farmhouse(1).jpg
577272d0edc2cb3880c690e8,Flower pot at a table,1869,Paul Cezanne,https://uploads4.wikiart.org/images/paul-cezanne/flower-pot-at-a-table.jpg
577289eeedc2cb38800f3fc7,On the Hudson  near Dobb&#39;s Ferry,1870,Louis Comfort Tiffany,https://uploads1.wikiart.org/images/louis-comfort-tiffany/on-the-hudson-near-dobb-s-ferry-1870.jpg
577289feedc2cb38800facfb,Landscape with Figure,1870,Louis Comfort Tiffany,https://uploads0.wikiart.org/images/louis-comfort-tiffany/landscape-with-figure-1870.jpg
57727594edc2cb3880ceb4d5,Madame Juliette Pascal,1871,Henri de Toulouse-Lautrec,https://uploads5.wikiart.org/images/henri-de-toulouse-lautrec/madame-juliette-pascal-1871.jpg
577289e7edc2cb38800f3470,On the Way between Old and New Cairo  Citadel Mosque of Mohammed Ali  and Tombs of the Mamelukes,1872,Louis Comfort Tiffany,https://uploads1.wikiart.org/images/louis-comfort-tiffany/on-the-way-between-old-and-new-cairo-citadel-mosque-of-mohammed-ali-and-tombs-of-the-mamelukes-1872.jpg
577289e9edc2cb38800f366d,Snake Charmer at Tangier  Africa,1872,Louis Comfort Tiffany,https://uploads1.wikiart.org/images/louis-comfort-tiffany/snake-charmer-at-tangier-africa-1872.jpg
57727123edc2cb3880c05a7a,Canal,1873,Vincent van Gogh,https://uploads4.wikiart.org/images/vincent-van-gogh/canal(1).jpg
5772712dedc2cb3880c0c71c,Driveway,1872-1873,Vincent van Gogh,https://uploads7.wikiart.org/images/vincent-van-gogh/driveway(1).jpg
577289e7edc2cb38800f3450,Market Day,1873,Louis Comfort Tiffany,https://uploads7.wikiart.org/images/louis-comfort-tiffany/market-day-1873.jpg
577289eeedc2cb38800f3f87,Arab Facing Right,1873,Louis Comfort Tiffany,https://uploads5.wikiart.org/images/louis-comfort-tiffany/arab-facing-right-1873.jpg
577289e8edc2cb38800f34b0,The Village Peddler,1875,Louis Comfort Tiffany,https://uploads7.wikiart.org/images/louis-comfort-tiffany/the-village-peddler-1875.jpg
57727123edc2cb3880c05c06,Churches at Petersham and Turnham Green,1876,Vincent van Gogh,https://uploads2.wikiart.org/images/vincent-van-gogh/churches-at-petersham-and-turnham-green(1).jpg
577272c6edc2cb3880c6271d,Bathers at Rest,1877,Paul Cezanne,https://uploads3.wikiart.org/images/paul-cezanne/bathers-at-rest-1877.jpg
577272d0edc2cb3880c68fde,Dessert,1877,Paul Cezanne,https://uploads4.wikiart.org/images/paul-cezanne/dessert-1877.jpg
577272e1edc2cb3880c6b070,The roofs,1876-1877,Paul Cezanne,https://uploads1.wikiart.org/images/paul-cezanne/the-roofs.jpg
577289e7edc2cb38800f341d,Duane Street  New York,1877,Louis Comfort Tiffany,https://uploads0.wikiart.org/images/louis-comfort-tiffany/duane-street-new-york-1877.jpg
577289eeedc2cb38800f3fb7,North African Harbor Scene,1877,Louis Comfort Tiffany,https://uploads5.wikiart.org/images/louis-comfort-tiffany/north-african-harbor-scene-1877.jpg
577272d0edc2cb3880c690c2,Five Bathers,1878,Paul Cezanne,https://uploads0.wikiart.org/images/paul-cezanne/five-bathers-1878.jpg
577272d1edc2cb3880c691df,Four Bathers,1878,Paul Cezanne,https://uploads0.wikiart.org/images/paul-cezanne/four-bathers-1878.jpg
57727008edc2cb3880bc7858,Head of a Girl,1879,Georges Seurat,https://uploads4.wikiart.org/images/georges-seurat/head-of-a-girl-1879.jpg
57727008edc2cb3880bc78d6,Landscape at Saint-Ouen,1878-1879,Georges Seurat,https://uploads4.wikiart.org/images/georges-seurat/landscape-at-saint-ouen-1879.jpg
577272c7edc2cb3880c6284d,Bottom of the Ravine,1879,Paul Cezanne,https://uploads3.wikiart.org/images/paul-cezanne/bottom-of-the-ravine.jpg
577272d0edc2cb3880c68ff1,Dish of Apples,1879,Paul Cezanne,https://uploads2.wikiart.org/images/paul-cezanne/dish-of-apples-1879.jpg
577272daedc2cb3880c6a3d2,Seated Woman,1879,Paul Cezanne,https://uploads0.wikiart.org/images/paul-cezanne/seated-woman-1879.jpg
577272dbedc2cb3880c6a5c0,Still life,1879,Paul Cezanne,https://uploads7.wikiart.org/images/paul-cezanne/still-life-1879.jpg
577272deedc2cb3880c6ab05,The Abandoned House,1879,Paul Cezanne,https://uploads7.wikiart.org/images/paul-cezanne/the-abandoned-house-1879.jpg
577272e1edc2cb3880c6b18d,Three Pears,1879,Paul Cezanne,https://uploads8.wikiart.org/images/paul-cezanne/three-pears-1879.jpg
5ac0d296edc2c9eb747ab2a8,0,XIX cent.,Vahram Gayfedjian,https://uploads1.wikiart.org/00178/images/vahram-gaifedjyan/0.jpg
5772700aedc2cb3880bc7c18,Soldier Fencing  Another Reclining,1880,Georges Seurat,https://uploads5.wikiart.org/images/georges-seurat/soldier-fencing-another-reclining-1880.jpg
577272c5edc2cb3880c62509,Apples and a Napkin,1880,Paul Cezanne,https://uploads7.wikiart.org/images/paul-cezanne/apples-and-a-napkin-1880.jpg
577272c5edc2cb3880c62555,Apples  Pears and Grapes,1880,Paul Cezanne,https://uploads6.wikiart.org/images/paul-cezanne/apples-pears-and-grapes.jpg
577272c5edc2cb3880c6257b,Bacchanalia. The Battle of Love,1880,Paul Cezanne,https://uploads0.wikiart.org/images/paul-cezanne/bacchanalia-the-battle-of-love-1880.jpg
577272c6edc2cb3880c62672,Bathers,1880,Paul Cezanne,https://uploads4.wikiart.org/images/paul-cezanne/bathers-1880.jpg
577272c7edc2cb3880c62860,Bouquet of Flowers,1880,Paul Cezanne,https://uploads1.wikiart.org/images/paul-cezanne/bouquet-of-flowers.jpg
