id,title,year,artistName,image
58faae5bedc2c9659c66eaca,Woman Cleaning Turnips,1740,Jean-Baptiste-Simeon Chardin,https://uploads3.wikiart.org/00129/images/jean-baptiste-simeon-chardin/jean-baptiste-sime-on-chardin-017.jpg
57726f11edc2cb3880b94df9,The Wounded Cuirassier,1814,Th&#233;odore G&#233;ricault,https://uploads7.wikiart.org/images/theodore-gericault/the-wounded-cuirassier-1814.jpg
57726f11edc2cb3880b94e09,The Wounded Cuirassier,1814,Th&#233;odore G&#233;ricault,https://uploads2.wikiart.org/images/theodore-gericault/the-wounded-cuirassier.jpg
57726f12edc2cb3880b94e99,The&#160;three skulls,1812-1814,Th&#233;odore G&#233;ricault,https://uploads1.wikiart.org/images/theodore-gericault/the-three-skulls-1814.jpg
57726f11edc2cb3880b94d36,The head of&#160;white horse,1815,Th&#233;odore G&#233;ricault,https://uploads3.wikiart.org/images/theodore-gericault/the-head-of-white-horse.jpg
57726f0eedc2cb3880b9489a,Boxers,1818,Th&#233;odore G&#233;ricault,https://uploads4.wikiart.org/images/theodore-gericault/boxers.jpg
57726f12edc2cb3880b94e69,The&#160;murderers carry the&#160;body of Fualdes,1818,Th&#233;odore G&#233;ricault,https://uploads1.wikiart.org/images/theodore-gericault/the-murderers-carry-the-body-of-fualdes.jpg
57726f0eedc2cb3880b9486a,Anatomical Pieces,1819,Th&#233;odore G&#233;ricault,https://uploads6.wikiart.org/images/theodore-gericault/anatomical-pieces.jpg
57726f0eedc2cb3880b9492a,Head of a Drowned Man,1819,Th&#233;odore G&#233;ricault,https://uploads1.wikiart.org/images/theodore-gericault/head-of-a-drowned-man.jpg
57726f11edc2cb3880b94d96,The Raft of the Medusa,1818-1819,Th&#233;odore G&#233;ricault,https://uploads1.wikiart.org/images/theodore-gericault/the-raft-of-the-medusa-1819(1).jpg
5772787dedc2cb3880d80dfe,Portrait of Peter I,1818-1819,Alexey Venetsianov,https://uploads4.wikiart.org/images/alexey-venetsianov/portrait-of-peter-i-1819.jpg
57726f0fedc2cb3880b9497a,Heads of Torture Victims (study for The Raft of the Medusa),1818-1820,Th&#233;odore G&#233;ricault,https://uploads1.wikiart.org/images/theodore-gericault/heads-of-torture-victims-study-for-the-raft-of-the-medusa.jpg
5772775bedc2cb3880d463bd,Portrait of A. I. Tropinina,1820,Vasily Tropinin,https://uploads7.wikiart.org/images/vasily-tropinin/portrait-of-a-i-tropinina-1820.jpg
5772775fedc2cb3880d4675d,The coachman leaning on a whip handle,1820,Vasily Tropinin,https://uploads1.wikiart.org/images/vasily-tropinin/the-coachman-leaning-on-a-whip-handle-1820.jpg
57727760edc2cb3880d467ad,Ukrainian woman in namitke,1820,Vasily Tropinin,https://uploads8.wikiart.org/images/vasily-tropinin/ukrainian-woman-in-namitke-1820.jpg
5772787bedc2cb3880d80c4e,In the Fields. Spring,1820,Alexey Venetsianov,https://uploads0.wikiart.org/images/alexey-venetsianov/in-the-fields-spring.jpg
5772787cedc2cb3880d80dde,Portrait of P. I. Milyukov,1820,Alexey Venetsianov,https://uploads4.wikiart.org/images/alexey-venetsianov/portrait-of-p-i-milyukov.jpg
5772787dedc2cb3880d80e8e,Portret of L.A. Stromilova,1820,Alexey Venetsianov,https://uploads5.wikiart.org/images/alexey-venetsianov/portret-of-l-a-stromilova.jpg
5772787dedc2cb3880d80eee,Peeling Beets,1820,Alexey Venetsianov,https://uploads5.wikiart.org/images/alexey-venetsianov/shelling-of-beet.jpg
57726f0eedc2cb3880b948da,Dead Cat,1821,Th&#233;odore G&#233;ricault,https://uploads6.wikiart.org/images/theodore-gericault/dead-cat.jpg
57726f0fedc2cb3880b94ae6,Portrait of a Kleptomaniac,1819-1822,Th&#233;odore G&#233;ricault,https://uploads2.wikiart.org/images/theodore-gericault/portrait-of-a-kleptomaniac-1822.jpg
57726f11edc2cb3880b94d76,The Madwoman  or The Obsession of Envy,1822,Th&#233;odore G&#233;ricault,https://uploads4.wikiart.org/images/theodore-gericault/the-madwoman-or-the-obsession-of-envy-1822.jpg
57726f11edc2cb3880b94de9,The Woman with Gambling Mania,1819-1822,Th&#233;odore G&#233;ricault,https://uploads5.wikiart.org/images/theodore-gericault/the-woman-with-gambling-mania-1822.jpg
57726f8bedc2cb3880bb1909,Sunday,1822,Honore Daumier,https://uploads0.wikiart.org/images/honore-daumier/sunday.jpg
57727032edc2cb3880bd17da,Boid Guillaumi  near Rouen A Gate Flanked by Two Posts,1822,Camille Corot,https://uploads6.wikiart.org/images/camille-corot/boid-guillaumi-near-rouen-a-gate-flanked-by-two-posts-1822.jpg
57727034edc2cb3880bd1a4a,Dieppe End of a Pier and the Sea,1822,Camille Corot,https://uploads3.wikiart.org/images/camille-corot/dieppe-end-of-a-pier-and-the-sea-1822.jpg
57727034edc2cb3880bd1bfa,Fontainebleau  Storm over the Plains,1822,Camille Corot,https://uploads6.wikiart.org/images/camille-corot/fontainebleau-storm-over-the-plains-1822.jpg
57727039edc2cb3880bd21da,Moret sur Loing  the Bridge and the Church,1822,Camille Corot,https://uploads3.wikiart.org/images/camille-corot/moret-sur-loing-the-bridge-and-the-church-1822.jpg
5772787aedc2cb3880d80ade,A Peasant Woman  Combing Flax (Anisia),1822,Alexey Venetsianov,https://uploads6.wikiart.org/images/alexey-venetsianov/a-peasant-woman-combing-flax-anisia.jpg
5772787eedc2cb3880d80f7e,Threshing-Floor,1821-1822,Alexey Venetsianov,https://uploads0.wikiart.org/images/alexey-venetsianov/threshing-floor-1822.jpg
57726f11edc2cb3880b94cb6,Study&#160;for&#160;Dead horse,1823,Th&#233;odore G&#233;ricault,https://uploads0.wikiart.org/images/theodore-gericault/study-for-dead-horse.jpg
57726f12edc2cb3880b94e59,The&#160;Insane,1822-1823,Th&#233;odore G&#233;ricault,https://uploads4.wikiart.org/images/theodore-gericault/the-insane-1823.jpg
57727042edc2cb3880bd8caa,Shipyard in Honfleur,1823,Camille Corot,https://uploads4.wikiart.org/images/camille-corot/shipyard-in-honfleur.jpg
5772775aedc2cb3880d462cd,Old beggar,1823,Vasily Tropinin,https://uploads1.wikiart.org/images/vasily-tropinin/old-beggar-1823.jpg
57727760edc2cb3880d4676d,The Lacemaker,1823,Vasily Tropinin,https://uploads8.wikiart.org/images/vasily-tropinin/the-lacemaker.jpg
5772787bedc2cb3880d80c6e,Morning of the Landlady,1823,Alexey Venetsianov,https://uploads3.wikiart.org/images/alexey-venetsianov/morning-of-the-landlady.jpg
5772787cedc2cb3880d80d8e,Portrait of M. M. Philosophova,1823,Alexey Venetsianov,https://uploads8.wikiart.org/images/alexey-venetsianov/portrait-of-m-m-philosophova.jpg
57727035edc2cb3880bd1c1a,Fontainebleau  the Road to Chailly,1822-1824,Camille Corot,https://uploads8.wikiart.org/images/camille-corot/fontainebleau-the-road-to-chailly.jpg
5772787aedc2cb3880d80ace,A Peasant Woman with Scythe and Rake,1824,Alexey Venetsianov,https://uploads7.wikiart.org/images/alexey-venetsianov/a-peasant-woman-with-scythe-and-rake.jpg
5772787bedc2cb3880d80b9e,Full-scale Class,1824,Alexey Venetsianov,https://uploads5.wikiart.org/images/alexey-venetsianov/full-scale-class.jpg
5772787bedc2cb3880d80bce,Girl with Burak,1824,Alexey Venetsianov,https://uploads4.wikiart.org/images/alexey-venetsianov/girl-with-burak.jpg
5772787bedc2cb3880d80bee,Girl with Milk,1824,Alexey Venetsianov,https://uploads3.wikiart.org/images/alexey-venetsianov/girl-with-milk.jpg
5772787dedc2cb3880d80f0e,Sleeping Herd-Boy,1824,Alexey Venetsianov,https://uploads6.wikiart.org/images/alexey-venetsianov/sleeping-herd-boy.jpg
5772787dedc2cb3880d80f2e,That is  those Fathers Dinner!,1824,Alexey Venetsianov,https://uploads8.wikiart.org/images/alexey-venetsianov/that-is-those-fathers-dinner.jpg
57726f10edc2cb3880b94bc6,Scene&#160;of&#160;Cannibalism for The Raft of the Medusa,XVIII-XIX cent.,Th&#233;odore G&#233;ricault,https://uploads0.wikiart.org/images/theodore-gericault/scene-of-cannibalism-for-the-raft-of-the-medusa.jpg
57726f11edc2cb3880b94d26,The head of&#160;bulldog,XVIII-XIX cent.,Th&#233;odore G&#233;ricault,https://uploads8.wikiart.org/images/theodore-gericault/the-head-of-bulldog.jpg
57727032edc2cb3880bd17ca,Between Lake Geneva and the Alps,1825,Camille Corot,https://uploads3.wikiart.org/images/camille-corot/between-lake-geneva-and-the-alps-1825.jpg
57727036edc2cb3880bd1daa,Honfleur  The Old Wharf,1824-1825,Camille Corot,https://uploads6.wikiart.org/images/camille-corot/honfleur-the-old-wharf.jpg
57727037edc2cb3880bd1e5a,Italian Peasant Boy,1825,Camille Corot,https://uploads8.wikiart.org/images/camille-corot/italian-peasant-boy-1825.jpg
57727038edc2cb3880bd203a,Little Chaville,1823-1825,Camille Corot,https://uploads4.wikiart.org/images/camille-corot/little-chaville-1825.jpg
57727042edc2cb3880bd8c5a,Self Portrait  Sitting next to an Easel,1825,Camille Corot,https://uploads0.wikiart.org/images/camille-corot/self-portrait-sitting-next-to-an-easel-1825.jpg
57727044edc2cb3880bd8f5a,The Colosseum  seen through the Arcades of the Basilica of Constantine,1825,Camille Corot,https://uploads4.wikiart.org/images/camille-corot/the-colosseum-seen-through-the-arcades-of-the-basilica-of-constantine-1825.jpg
57727045edc2cb3880bd903a,The Ford under the Bended Tree,1825,Camille Corot,https://uploads5.wikiart.org/images/camille-corot/the-ford-under-the-bended-tree.jpg
57727049edc2cb3880bd969a,Ville d&#39;Avray Edge of the Woods with a Female Cowherd,1825,Camille Corot,https://uploads1.wikiart.org/images/camille-corot/ville-d-avray-edge-of-the-woods-with-a-female-cowherd.jpg
5772775fedc2cb3880d4664d,Portrait of the artist&#39;s sister VATropinin,1825,Vasily Tropinin,https://uploads6.wikiart.org/images/vasily-tropinin/portrait-of-the-artist-s-sister-vatropinin-1825.jpg
57727760edc2cb3880d4677d,The old man farmer,1825,Vasily Tropinin,https://uploads0.wikiart.org/images/vasily-tropinin/the-old-man-farmer-1825.jpg
5772787bedc2cb3880d80c3e,Head of an Old Peasant,1825,Alexey Venetsianov,https://uploads2.wikiart.org/images/alexey-venetsianov/head-of-an-old-peasant.jpg
5772787eedc2cb3880d80fbe,Zakharka,1825,Alexey Venetsianov,https://uploads6.wikiart.org/images/alexey-venetsianov/zakharka.jpg
57727032edc2cb3880bd173a,Ariccia  Palazzo Chigi,1826,Camille Corot,https://uploads1.wikiart.org/images/camille-corot/ariccia-palazzo-chigi-1826.jpg
57727032edc2cb3880bd188a,Castel Gandolfo,1826,Camille Corot,https://uploads8.wikiart.org/images/camille-corot/castel-gandolfo.jpg
57727033edc2cb3880bd190a,Civita Castellana and Mount Soracte,1826,Camille Corot,https://uploads6.wikiart.org/images/camille-corot/civita-castellana-and-mount-soracte-1826.jpg
57727033edc2cb3880bd193a,Clump of Trees at Civita Castellana,1826,Camille Corot,https://uploads6.wikiart.org/images/camille-corot/clump-of-trees-at-civita-castellana-1826.jpg
57727037edc2cb3880bd1f3a,Lake Piediluco,1826,Camille Corot,https://uploads3.wikiart.org/images/camille-corot/lake-piediluco-1826.jpg
5772703aedc2cb3880bd2374,Old Man Seated on Corot s Trunk,1826,Camille Corot,https://uploads2.wikiart.org/images/camille-corot/old-man-seated-on-corot-s-trunk-1826.jpg
