id,title,year,artistName,image
57727a6bedc2cb3880de7343,Self-Portrait at the Age of about Twenty,1753,Joseph Wright,https://uploads6.wikiart.org/images/joseph-wright/self-portrait-at-the-age-of-about-twenty.jpg
57727b79edc2cb3880e190b4,Racehorses Belonging to the Duke of Richmond Exercising at Goodwood,1760-1761,George Stubbs,https://uploads2.wikiart.org/images/george-stubbs/racehorses-belonging-to-the-duke-of-richmond-exercising-at-goodwood-1761.jpg
57728acfedc2cb3880124abd,The Interior of the Foulis Academy of Fine Arts,1761,David Allan,https://uploads7.wikiart.org/images/david-allan/the-interior-of-the-foulis-academy-of-fine-arts-1761.jpg
57727a67edc2cb3880de6d23,A Girl reading a letter by Candlelight  with a Young Man peering over her shoulder,1762,Joseph Wright,https://uploads7.wikiart.org/images/joseph-wright/a-girl-reading-a-letter-by-candlelight-with-a-young-man-peering-over-her-shoulder-1762.jpg
57727b78edc2cb3880e18f04,Horse Attacked by a Lion,1762,George Stubbs,https://uploads8.wikiart.org/images/george-stubbs/horse-attacked-by-a-lion.jpg
57727b79edc2cb3880e18fd4,Mares and Foals in a Wooded Landscape,1760-1762,George Stubbs,https://uploads8.wikiart.org/images/george-stubbs/mares-and-foals-in-a-wooded-landscape-1762.jpg
57727b7aedc2cb3880e19164,The Grosvenor Hunt,1762,George Stubbs,https://uploads2.wikiart.org/images/george-stubbs/the-grosvenor-hunt.jpg
57727b7aedc2cb3880e191b4,Whistlejacket,1762,George Stubbs,https://uploads6.wikiart.org/images/george-stubbs/whistlejacket.jpg
5ea698afedc2c960cc76e0db,Hound Coursing a Stag,1762,George Stubbs,https://uploads5.wikiart.org/00286/images/george-stubbs/hound-coursing-a-stag-1762.jpg
5ea69b54edc2c960cc8d2257,Foxhounds in a Landscape,1762,George Stubbs,https://uploads8.wikiart.org/00286/images/george-stubbs/foxhounds-in-a-landscape-1762.jpg
57727a6aedc2cb3880de7173,Mrs. Wilmot in Riding Dress,1762-1763,Joseph Wright,https://uploads1.wikiart.org/images/joseph-wright/mrs-wilmot-in-riding-dress.jpg
57727a6aedc2cb3880de7183,Nicholas Heath,1762-1763,Joseph Wright,https://uploads7.wikiart.org/images/joseph-wright/nicholas-heath.jpg
57727b7aedc2cb3880e191d7,Zebra,1762-1763,George Stubbs,https://uploads3.wikiart.org/images/george-stubbs/zebra-1763.jpg
5ea69a9bedc2c960cc86ec8f,A Zebra,1763,George Stubbs,https://uploads0.wikiart.org/00286/images/george-stubbs/a-zebra-1763.jpg
57727a68edc2cb3880de6fb3,James and Mary Shuttleworth with One of Their Daughters,1764,Joseph Wright,https://uploads3.wikiart.org/images/joseph-wright/james-and-mary-shuttleworth-with-one-of-their-daughters.jpg
57727a6dedc2cb3880de7613,William Rastall,1762-1764,Joseph Wright,https://uploads8.wikiart.org/images/joseph-wright/william-rastall.jpg
57728acfedc2cb3880124b5d,Lady Frances Erskine,1764,David Allan,https://uploads7.wikiart.org/images/david-allan/lady-frances-erskine-1764.jpg
57727a6bedc2cb3880de7313,Self-Portrait,1765,Joseph Wright,https://uploads6.wikiart.org/images/joseph-wright/self-portrait.jpg
57727a6cedc2cb3880de7523,Three Persons Viewing the Gladiator by Candlelight,1765,Joseph Wright,https://uploads7.wikiart.org/images/joseph-wright/three-persons-viewing-the-gladiator-by-candlelight.jpg
57727b77edc2cb3880e18e14,Cheetah with two Indian servants and a deer,1765,George Stubbs,https://uploads0.wikiart.org/images/george-stubbs/cheetah-with-two-indian-servants-and-a-deer.jpg
57727b78edc2cb3880e18ea4,Gimcrack on Newmarket Heath  with a Trainer  a Stable lad   and a Jockey,1765,George Stubbs,https://uploads7.wikiart.org/images/george-stubbs/gimcrack-on-newmarket-heath-with-a-trainer-a-stable-lad-and-a-jockey.jpg
57727b78edc2cb3880e18ef4,Horse Attacked by a Lion,1762-1765,George Stubbs,https://uploads4.wikiart.org/images/george-stubbs/horse-attacked-by-a-lion-1765.jpg
57727b78edc2cb3880e18f74,Lion Attacking a Horse,1765,George Stubbs,https://uploads6.wikiart.org/images/george-stubbs/lion-attacking-a-horse.jpg
57727b79edc2cb3880e18f94,Lord Grosvenor&#39;s Arabian Stallion with a Groom,1765,George Stubbs,https://uploads3.wikiart.org/images/george-stubbs/lord-grosvenor-s-arabian-stallion-with-a-groom.jpg
57727b79edc2cb3880e18fa4,Mares and foals are anxious before a looming storm,1764-1765,George Stubbs,https://uploads3.wikiart.org/images/george-stubbs/mares-and-foals-are-anxious-before-a-looming-storm-1765.jpg
57727a6bedc2cb3880de72d3,Robert Vernon Atherton Gwillym,1766,Joseph Wright,https://uploads5.wikiart.org/images/joseph-wright/robert-vernon-atherton-gwillym.jpg
57727a6cedc2cb3880de74d3,Philosopher Lecturing on the Orrery,1766,Joseph Wright,https://uploads3.wikiart.org/images/joseph-wright/the-orrery.jpg
57727b78edc2cb3880e18e94,Frontal view of the skeleton of a horse  study No. 10 from &#39;The Anatomy of the Horse&#39;,1766,George Stubbs,https://uploads7.wikiart.org/images/george-stubbs/frontal-view-of-the-skeleton-of-a-horse-study-no-10-from-the-anatomy-of-the-horse-1766.jpg
57726f57edc2cb3880ba7403,The Esquilache Riots,1766-1767,Francisco Goya,https://uploads5.wikiart.org/images/francisco-goya/the-esquilache-riots.jpg
57727a6bedc2cb3880de7393,Study of a Young Girl in a Turban and Frilled Collar,1768,Joseph Wright,https://uploads0.wikiart.org/images/joseph-wright/study-of-a-young-girl-in-a-turban-and-frilled-collar.jpg
57727a6bedc2cb3880de73a3,Study of a Young Girl with Feathers in Her Hair,1768,Joseph Wright,https://uploads4.wikiart.org/images/joseph-wright/study-of-a-young-girl-with-feathers-in-her-hair.jpg
57727b79edc2cb3880e18fc4,Mares and Foals in a River Landscape,1763-1768,George Stubbs,https://uploads7.wikiart.org/images/george-stubbs/mares-and-foals-in-a-river-landscape-1768.jpg
57727b79edc2cb3880e19044,Portrait of a Huntsman,1768,George Stubbs,https://uploads6.wikiart.org/images/george-stubbs/portrait-of-a-huntsman.jpg
57727b7aedc2cb3880e19174,The Hunters leave Southill,1763-1768,George Stubbs,https://uploads6.wikiart.org/images/george-stubbs/the-hunters-leave-southill-1768.jpg
57728acfedc2cb3880124add,James Colvin,1768,David Allan,https://uploads8.wikiart.org/images/david-allan/james-colvin-1768.jpg
57726f5aedc2cb3880ba7893,Triple generation,1760-1769,Francisco Goya,https://uploads7.wikiart.org/images/francisco-goya/triple-generation-1769.jpg
57727a6aedc2cb3880de7283,Portrait of Sarah Carver and her daughter Sarah,1769,Joseph Wright,https://uploads4.wikiart.org/images/joseph-wright/portrait-of-sarah-carver-and-her-daughter-sarah.jpg
57727b77edc2cb3880e18e24,Colonel Pocklington with His Sisters,1769,George Stubbs,https://uploads2.wikiart.org/images/george-stubbs/colonel-pocklington-with-his-sisters.jpg
57727b79edc2cb3880e18fb4,Mares and Foals in a Mountainous Landscape,1769,George Stubbs,https://uploads8.wikiart.org/images/george-stubbs/mares-and-foals-in-a-mountainous-landscape.jpg
57727a67edc2cb3880de6d03,A Conversation between Girls  or Two Girls with their Black Servant,1770,Joseph Wright,https://uploads1.wikiart.org/images/joseph-wright/a-conversation-between-girls-or-two-girls-with-their-black-servant-1770.jpg
57727a67edc2cb3880de6d33,A Girl reading a Letter  with an Old Man reading over her shoulder,1767-1770,Joseph Wright,https://uploads4.wikiart.org/images/joseph-wright/a-girl-reading-a-letter-with-an-old-man-reading-over-her-shoulder.jpg
57727a67edc2cb3880de6de3,An Open Hearth with a Fire,1770,Joseph Wright,https://uploads1.wikiart.org/images/joseph-wright/an-open-hearth-with-a-fire.jpg
57727a6aedc2cb3880de7203,Portrait of a Lady with Her Lacework,1770,Joseph Wright,https://uploads2.wikiart.org/images/joseph-wright/portrait-of-a-lady-with-her-lacework.jpg
57727a6aedc2cb3880de7213,Portrait of Dr Erasmus Darwin (1731-1802) scientist  inventor and poet  grandfather of Charles Darwin,1770,Joseph Wright,https://uploads7.wikiart.org/images/joseph-wright/portrait-of-dr-erasmus-darwin-1731-1802-scientist-inventor-and-poet-grandfather-of-charles-1770.jpg
57727a6bedc2cb3880de7353,Self-Portrait in a Black Feathered Hat,1767-1770,Joseph Wright,https://uploads4.wikiart.org/images/joseph-wright/self-portrait-in-a-black-feathered-hat.jpg
57727a6cedc2cb3880de7503,Thomas Day,1770,Joseph Wright,https://uploads3.wikiart.org/images/joseph-wright/thomas-day.jpg
57727a6cedc2cb3880de7533,Two Boys Fighting over a Bladder,1767-1770,Joseph Wright,https://uploads3.wikiart.org/images/joseph-wright/two-boys-fighting-over-a-bladder-1770.jpg
57727b77edc2cb3880e18da4,A Horse Frightened by a Lion,1770,George Stubbs,https://uploads8.wikiart.org/images/george-stubbs/a-horse-frightened-by-a-lion-1770.jpg
57727b78edc2cb3880e18f54,Lady Reading in a Wooded Park,1768-1770,George Stubbs,https://uploads0.wikiart.org/images/george-stubbs/lady-reading-in-a-wooded-park-1770.jpg
57726f4aedc2cb3880ba047f,Hanibal vencedor contempla Italia desde los Alpes,1771,Francisco Goya,https://uploads7.wikiart.org/images/francisco-goya/hanibal-vencedor-contempla-italia-desde-los-alpes.jpg
57726f58edc2cb3880ba7613,The Sacrifice to Priapus,1771,Francisco Goya,https://uploads5.wikiart.org/images/francisco-goya/the-sacrifice-to-priapus-1771.jpg
57726f59edc2cb3880ba7623,The Sacrifice to Vesta,1771,Francisco Goya,https://uploads7.wikiart.org/images/francisco-goya/the-sacrifice-to-vesta.jpg
57727a6bedc2cb3880de7413,The Alchemist Discovering Phosphorus or The Alchemist in Search of the Philosophers Stone,1771,Joseph Wright,https://uploads6.wikiart.org/images/joseph-wright/the-alchemist-discovering-phosphorus-or-the-alchemist-in-search-of-the-philosophers-stone-1771.jpg
57728ab3edc2cb388011c8de,Coast Scene with Approaching Storm,1771,Thomas Jones,https://uploads4.wikiart.org/images/thomas-jones/coast-scene-with-approaching-storm-1771.jpg
57726f47edc2cb3880ba001f,Birth of the Virgin,1772,Francisco Goya,https://uploads0.wikiart.org/images/francisco-goya/birth-of-the-virgin-1772.jpg
57726f56edc2cb3880ba7263,The Adoration of the Name of The Lord,1772,Francisco Goya,https://uploads7.wikiart.org/00258/images/francisco-goya/1772-francisco-goya-the-adoration-of-the-name-of-the-lord.jpg
